Record ID,Task,Position,Item,Response
69fb85fbd66b452e6decf4f7,1,1,5,0
69fb85fbd66b452e6decf4f7,1,2,7,1
69fb85fbd66b452e6decf4f7,1,3,4,0
69fb85fbd66b452e6decf4f7,1,4,1,-1
69fb85fbd66b452e6decf4f7,2,1,8,-1
69fb85fbd66b452e6decf4f7,2,2,3,0
69fb85fbd66b452e6decf4f7,2,3,10,1
69fb85fbd66b452e6decf4f7,2,4,9,0
69fb85fbd66b452e6decf4f7,3,1,3,0
69fb85fbd66b452e6decf4f7,3,2,5,0
69fb85fbd66b452e6decf4f7,3,3,2,1
69fb85fbd66b452e6decf4f7,3,4,6,-1
69fb85fbd66b452e6decf4f7,4,1,6,-1
69fb85fbd66b452e6decf4f7,4,2,4,0
69fb85fbd66b452e6decf4f7,4,3,8,0
69fb85fbd66b452e6decf4f7,4,4,7,1
69fb85fbd66b452e6decf4f7,5,1,2,1
69fb85fbd66b452e6decf4f7,5,2,9,0
69fb85fbd66b452e6decf4f7,5,3,7,0
69fb85fbd66b452e6decf4f7,5,4,1,-1
69fb85fbd66b452e6decf4f7,6,1,10,0
69fb85fbd66b452e6decf4f7,6,2,2,1
69fb85fbd66b452e6decf4f7,6,3,3,-1
69fb85fbd66b452e6decf4f7,6,4,4,0
69fb85fbd66b452e6decf4f7,7,1,9,0
69fb85fbd66b452e6decf4f7,7,2,8,-1
69fb85fbd66b452e6decf4f7,7,3,5,0
69fb85fbd66b452e6decf4f7,7,4,2,1
69fb85fbd66b452e6decf4f7,8,1,1,0
69fb85fbd66b452e6decf4f7,8,2,10,1
69fb85fbd66b452e6decf4f7,8,3,6,-1
69fb85fbd66b452e6decf4f7,8,4,8,0
69fb85fbd66b452e6decf4f7,9,1,2,1
69fb85fbd66b452e6decf4f7,9,2,11,0
69fb85fbd66b452e6decf4f7,10,1,10,1
69fb85fbd66b452e6decf4f7,10,2,11,0
69fb85fbd66b452e6decf4f7,11,1,4,1
69fb85fbd66b452e6decf4f7,11,2,11,0
69fb85fbd66b452e6decf4f7,12,1,5,1
69fb85fbd66b452e6decf4f7,12,2,11,0
69fb85fbd66b452e6decf4f7,13,1,3,1
69fb85fbd66b452e6decf4f7,13,2,11,0
69fb85fbd66b452e6decf4f7,14,1,1,1
69fb85fbd66b452e6decf4f7,14,2,11,0
69fb85fbd66b452e6decf4f7,15,1,6,0
69fb85fbd66b452e6decf4f7,15,2,11,1
69fb87e6d66b452e6decf799,1,1,1,0
69fb87e6d66b452e6decf799,1,2,9,1
69fb87e6d66b452e6decf799,1,3,7,0
69fb87e6d66b452e6decf799,1,4,4,-1
69fb87e6d66b452e6decf799,2,1,6,-1
69fb87e6d66b452e6decf799,2,2,8,0
69fb87e6d66b452e6decf799,2,3,2,0
69fb87e6d66b452e6decf799,2,4,3,1
69fb87e6d66b452e6decf799,3,1,2,0
69fb87e6d66b452e6decf799,3,2,7,1
69fb87e6d66b452e6decf799,3,3,10,-1
69fb87e6d66b452e6decf799,3,4,5,0
69fb87e6d66b452e6decf799,4,1,4,-1
69fb87e6d66b452e6decf799,4,2,5,0
69fb87e6d66b452e6decf799,4,3,6,0
69fb87e6d66b452e6decf799,4,4,9,1
69fb87e6d66b452e6decf799,5,1,8,0
69fb87e6d66b452e6decf799,5,2,10,-1
69fb87e6d66b452e6decf799,5,3,9,1
69fb87e6d66b452e6decf799,5,4,1,0
69fb87e6d66b452e6decf799,6,1,3,0
69fb87e6d66b452e6decf799,6,2,4,-1
69fb87e6d66b452e6decf799,6,3,8,0
69fb87e6d66b452e6decf799,6,4,7,1
69fb87e6d66b452e6decf799,7,1,10,0
69fb87e6d66b452e6decf799,7,2,2,-1
69fb87e6d66b452e6decf799,7,3,4,1
69fb87e6d66b452e6decf799,7,4,6,0
69fb87e6d66b452e6decf799,8,1,5,1
69fb87e6d66b452e6decf799,8,2,6,-1
69fb87e6d66b452e6decf799,8,3,1,0
69fb87e6d66b452e6decf799,8,4,3,0
69fb87e6d66b452e6decf799,9,1,9,1
69fb87e6d66b452e6decf799,9,2,11,0
69fb87e6d66b452e6decf799,10,1,5,1
69fb87e6d66b452e6decf799,10,2,11,0
69fb87e6d66b452e6decf799,11,1,3,1
69fb87e6d66b452e6decf799,11,2,11,0
