Item #,Item,,,,,
1,"MGTA 403 AI Math, Prog., & Analytics (Summer with Nijs)",,,,,
2,MGTA 464 SQL (Summer with Nijs),,,,,
3,MGTA 451 Marketing/Finance/Operations (Summer with Wilbur/Buti/Shin),,,,,
4,MGTA 452 Large Data (Fall with Hansen),,,,,
5,MGTA 453 Business Analytics (Fall with August),,,,,
6,MGTA 444 Analytics Consulting (Winter with Peterson),,,,,
7,MGTA 455 Customer Analytics (Winter with Nijs),,,,,
8,MGTA 454 Capstone Project (Spring with Advisor),,,,,
9,MGTA 495 Marketing Analytics (Spring with Yavorsky),,,,,
10,MGTA 457 Biz. Intelligence Systems (Fall with Schibler),,,,,
