"gender","height","handsize","age","gaming","chat","maps","video","social","reading","total_minutes","days_ago","years_ago","discount","phone_id","brand","size_cat","price","screen_size"
"female",71,7.88,20,316.436543950565,281.938304744571,77.0160735257481,499.804479853947,176.045230092201,93.4091345448132,1444.64976671185,852.767250700854,3,"","H2","huawei","l",699,5.7
"male",64.6,5.63,20,441.51073983793,163.202310838956,17.496274472648,587.558106306136,104.32512697259,62.2801624768078,1376.37272090507,834.474821881857,3,"H1","H2","huawei","l",699,5.7
"male",66.8,7.5,20,244.726902485532,361.834186289565,142.569649879574,356.602748795111,318.795082229457,82.7005406421959,1507.22911032143,947.657208431978,3,"S2","A1","apple","s",749,5.5
"male",67.3,5.97,19,385.905312475538,201.97035335387,82.7301938656486,537.893285342066,244.429449023672,116.93591063322,1569.86450469402,400.641410136595,2,"S1","H1","huawei","s",699,5.7
"male",68.1,6.71,19,204.24349337543,407.604492347858,143.676723613674,241.993242792183,344.192753007669,67.4920252897648,1409.20273042658,555.87660271395,2,"A1","S1","samsung","s",749,5.8
"male",67.9,7.7,20,499.238728087181,156.960291959087,56.6356565251686,374.231553173744,111.829613116479,48.6494001272799,1247.54524298894,874.043773565907,3,"H2","A2","apple","l",899,5.8
"female",65.8,7.15,20,142.566808644986,334.221059842814,55.2150223243092,298.631000586135,179.43104717983,0,1010.06493857807,947.781702249777,3,"","A2","apple","l",899,5.8
"female",59.1,4.61,19,145.407800491906,447.478728600099,133.576127444948,279.115180494062,327.397695366846,156.259152488488,1489.23468488635,402.894806721713,2,"H1","A1","apple","s",799,5.8
"male",67.4,6.76,19,497.099669238536,280.589474819874,25.378406101959,567.331782386983,153.08852574543,11.1640080351703,1534.65186632795,112.68286894029,1,"A1","A2","apple","l",999,6.5
"female",61.8,6.44,20,124.280812759191,355.797996789872,120.720899790574,301.998316076233,223.999975808994,100.965817845784,1227.76381907065,769.491824384313,3,"","A1","apple","s",749,5.5
"male",67.9,7.6,19,341.466482546497,141.786767876672,80.5848374503555,603.330669360233,88.1356063860045,71.3410819028402,1326.6454455226,517.50752625335,2,"","A1","apple","s",799,5.8
"male",67.1,6.34,21,274.265446978098,116.6622715908,46.5396420986009,403.84528350703,14.1894185463074,40.3185141085417,895.820576829377,598.681174586527,2,"A1","H1","huawei","s",699,5.7
"female",68.7,8.9,21,189.799749237341,216.309263681131,36.9212568738938,233.508685522129,209.73177005609,98.9180883950737,985.188813765659,160.019719410222,1,"","H2","huawei","l",799,6.3
"male",71.8,8.2,20,300.782382656282,180.791444859952,45.2398055577483,445.708288536195,176.454915731684,85.3642232307633,1234.34106057263,450.627198132221,2,"","A2","apple","l",899,6.1
"female",64.9,7.29,20,412.966233151257,258.679590741065,81.0081234823641,571.060646522796,132.347538630733,110.517527413058,1566.57965994127,1040.95660897531,3,"A2","A2","apple","l",809.1,5.8
